recordingId,recordingTitle,songId,albumId,discNumber,trackNumber,versionType,artistsJson,notes
4bcc5202-3779-4ed8-b0cc-84932b479480,"Teardrops on My Guitar","SONG_TEARDROPS_ON_MY_GUITAR","ALBUM_K_TS",1,3,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
50df4bb9-a8b7-46f8-8272-92cc4e1b4389,"A Place in This World","SONG_A_PLACE_IN_THIS_WORLD","ALBUM_K_TS",1,4,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
f83c639f-217c-49f1-9691-6bda6effd5c6,"Cold as You","SONG_COLD_AS_YOU","ALBUM_K_TS",1,5,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
97dce589-e866-48a8-8b08-7f499b9464dc,"The Outside","SONG_THE_OUTSIDE","ALBUM_K_TS",1,6,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
a3d59e4a-a43f-4a1d-8102-d6f63984d7bd,"Tied Together With a Smile","SONG_TIED_TOGETHER_WITH_A_SMILE","ALBUM_K_TS",1,7,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
9c3d2abf-57ce-42a5-806c-6ff2668c1d4e,"Stay Beautiful","SONG_STAY_BEAUTIFUL","ALBUM_K_TS",1,8,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
fb8928be-93e2-40a3-9b44-4bac65435337,"Should’ve Said No","SONG_SHOULDVE_SAID_NO","ALBUM_K_TS",1,9,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
b9005d1e-cff8-4db9-831e-c762d85d31d2,"Mary’s Song (Oh My My My)","SONG_MARYS_SONG","ALBUM_K_TS",1,10,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
e686f6ad-1657-4087-a68c-37995be00818,"Our Song","SONG_OUR_SONG","ALBUM_K_TS",1,11,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
07cbaa75-0011-487d-b002-87beb3c809db,"I’m Only Me When I’m With You","SONG_IM_ONLY_ME_WHEN_IM_WITH_YOU","ALBUM_K_TS",1,12,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Original Deluxe Track - Karaoke Version"
0d06c36c-99c4-40dc-b714-5c7ad5b40ba5,"Invisible","SONG_INVISIBLE","ALBUM_K_TS",1,13,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Original Deluxe Track - Karaoke Version"
59d6d522-561c-404b-8101-33bda29d36b4,"A Perfectly Good Heart","SONG_A_PERFECTLY_GOOD_HEART","ALBUM_K_TS",1,14,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]","Original Deluxe Track - Karaoke Version"
df52811b-5708-43c1-a520-95796947a96b,"Fearless","SONG_FEARLESS","ALBUM_K_FEARLESS",1,1,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
4fd6c68b-c83a-40f2-b8ce-f4640a469256,"Fifteen","SONG_FIFTEEN","ALBUM_K_FEARLESS",1,2,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
